Time X Y Z
0.881 19.0474060387184 2.9095781242039376 -2.490533745781259
0.88125 19.01996798162004 2.9086779549118624 -2.477004278194869
0.8815000000000001 18.99243962111459 2.907687098486549 -2.4634573863018883
0.88175 18.96482122525362 2.9066053717225504 -2.449893488400371
0.882 18.937113063001526 2.905432593277088 -2.4363130035613256
0.88225 18.90931540423366 2.904168583673192 -2.4227163516181696
0.8825000000000001 18.881428519734314 2.902813165302833 -2.409103953156114
0.88275 18.853452681194767 2.9013661624300724 -2.39547622950161
0.883 18.82538816121112 2.8998274011941074 -2.381833602711665
0.88325 18.79723523328249 2.8981967096121766 -2.368176495563313
0.8835000000000001 18.768994171808842 2.8964739175826564 -2.3545053315428364
0.88375 18.740665252088984 2.8946588568878493 -2.3408205348352142
0.884 18.7122487503186 2.8927513611968587 -2.327122530313421
0.88425 18.683744943587996 2.8907512660685235 -2.3134117435276496
0.8845000000000001 18.65515410988031 2.8886584089539813 -2.2996886006947426
0.88475 18.626476528069183 2.8864726291995506 -2.285953528687376
0.885 18.597712477916765 2.8841937680493555 -2.272206955023317
0.88525 18.56886224007169 2.8818216686478726 -2.2584493078547654
0.8855000000000001 18.539926096066836 2.8793561760426467 -2.244681015957492
0.88575 18.510904328317345 2.8767971371866556 -2.2309025087201526
0.886 18.4817972201183 2.874144400940966 -2.2171142161334005
0.88625 18.452605055642774 2.8713978180770177 -2.2033165687792007
0.8865000000000001 18.42332811993966 2.868557241279044 -2.1895099978199486
0.88675 18.393966698931322 2.86562252514653 -2.175694934987648
0.887 18.364521079411652 2.8625935261963003 -2.161871812573122
0.88725 18.334991549043785 2.859470102864938 -2.1480410634151017
0.8875000000000001 18.30537839635791 2.8562521155108502 -2.134203120889471
0.88775 18.27568191074896 2.852939426416568 -2.1203584188982525
0.888 18.245902382474725 2.849531899790649 -2.106507391858906
0.88825 18.21604010265321 2.8460294017699166 -2.092650474693289
0.8885000000000001 18.186095363260705 2.8424318004213163 -2.0787881028168673
0.88875 18.156068457129415 2.8387389657440014 -2.0649207121277513
0.889 18.125959677945183 2.8349507696711544 -2.0510487389958074
0.88925 18.095769320245342 2.8310670860718385 -2.037172620251729
0.8895000000000001 18.065497679416247 2.8270877907529295 -2.0232927931760862
0.88975 18.035145051691217 2.823012761460726 -2.0094096954884417
0.89 18.004711734148007 2.8188418778827984 -1.9955237653363218
0.89025 17.974198024706702 2.81457502164956 -1.9816354412843609
0.8905000000000001 17.943604222127195 2.8102120763360015 -1.9677451623032303
0.89075 17.912930626007086 2.805752927463095 -1.9538533677587795
0.891 17.882177536779086 2.8011974624995517 -1.9399604974009526
0.89125 17.851345255708907 2.796545570863083 -1.9260669913529158
0.8915000000000001 17.820434084892707 2.7917971439219906 -1.9121732900999797
0.89175 17.789444327254806 2.786952074996468 -1.8982798344786476
0.892 17.758376286545314 2.782010259359951 -1.8843870656656243
0.89225 17.72723026733769 2.7769715942404316 -1.87049542516678
0.8925000000000001 17.69600657502633 2.7718359788216818 -1.8566053548061703
0.89275 17.66470551582421 2.766603314244457 -1.8427172967150005
0.893 17.633327396760382 2.7612735036076206 -1.8288316933206445
0.89325 17.601872525677557 2.7558464519692896 -1.8149489873355513
0.8935000000000001 17.570341211229742 2.750322066347829 -1.801069621746331
0.89375 17.538733762879595 2.7447002557229148 -1.7871940398025856
0.894 17.50705049089617 2.7389809310364006 -1.773322685006038
0.89425 17.475291706352213 2.733164005193374 -1.7594560010993217
0.8945000000000001 17.44345772112184 2.7272493930628547 -1.745594432055098
0.89475 17.411548847877917 2.7212370114787348 -1.731738422064919
0.895 17.379565400089735 2.715126779240416 -1.7178884155282583
0.89525 17.347507692020102 2.7089186171137296 -1.7040448570413735
0.8955000000000001 17.31537603872326 2.7026124478313793 -1.6902081913863611
